record_id,source,narrative,primary_lsr,secondary_lsr,all_lsrs,label_count,lsr_label_provenance
OILPS_OSHA_00795,OSHA,"An employee was driving downhill to return a UTV (utility terrain vehicle) to a truck when he lost control and capsized, breaking 11 ribs.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00277,OSHA,"An employee got caught between a trailer and truck while directing the truck driver to back up. The employee's leg was crushed, and the employee was hospitalized.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02361,OSHA,"On October 15, 2019, an employee was attempting to secure a barge when his right hand was crushed and lacerated by the winch wheel.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00357,OSHA,"On September 14, 2015, at approximately 10:30am, a worker suffered an amputation of the left pinky finger just above the palm while unloading pipe from a pipe trailer. The employee was standing towards the tractor side of the trailer and a side boom with sling was unloading the pipe. The load was lowered near the tractor in an effort to raise the pipe above the back stanchion on the trailer. As the pipe slowly moved, the load struck a stanchion or DOT fender and the employee's hand was crushed in the load of pipe. No tag line was used.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01734,OSHA,"An employee was setting up five mud tanks and a mud pump. While he was hooking up the fifth mud tank to the fourth mud tank, a gap formed between the hose to the union. He inched the cable over multiple times to close the gap. Then, the driver lifted the mud tank up, which caused the cable line to pull the employee's finger between the truck roller, resulting in an amputation of the end of his left index finger.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0205,IOGP_SPI,"On 7th July 2025 at 15:03 hrs, a hydrocarbon gas release occurred onboard the FPSO from anti-surge valve (part 
of the gas compression system). Gas detectors were activated and an Emergency Shutdown Level 2 (ESD-2) was 
triggered, resulting in a full production shutdown. The Emergency Response Team confirmed stem leakage on the 
anti-surge valve.
The valve was isolated and inspected. Only remnants of stem packing were found. A temporary in-situ repair 
was attempted using graphite split and braided rings, but the installation sequence was incorrect. The valve was 
therefore not leak-tested and sent onshore for further assessment.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00035,OSHA,Two employees were burned when a bubble tower exploded creating a flash fire during maintenance work on a well site.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0086,IOGP_SPI,Internal corrosion on tester oil leg caused 21.5 bbl spill; remediation planned.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01886,OSHA,An employee's hand was on a cable that was being used to lift a pipe from a rig when his finger was amputated.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00367,OSHA,An employee was working on a heater when the fuel gas system detonated and caused a flash fire. The employee was burned on the right side of the face and ear.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02405,OSHA,"Employees were working to remove and change the air swivel on the down the hole hammer (DTH) machine. They were using a 60"" pipe wrench weighing 60lbs. to loosen the drill steel by over-torqueing the pipe wrench and wedging it against the mast while rotating the drill steel in a counter direction. After some attempts, the DTH operator approached to help Employee 2. The drill then rotated and the pipe wrench contacted the right side of Employee 2's face, knocking him to the ground. The wrench then struck the DTH operator on the hard hat. Both employees were taken to the hospital. The DTH operator was released from the hospital after an evaluation. Employee 2 was hospitalized with multiple fractures to his jaw and cheek bone on the right side of the face.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00908,OSHA,"On February 19, 2017, an employee slid down a containment mat and struck a pressure gauge on the wellhead while attempting to pull slack in a wire line. He suffered a rib injury that required hospitalization.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03637,OSHA,"An employee was attempting to clear blockage from a clogged line when a valve closed on his left middle fingertip, resulting in an amputation.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03521,OSHA,"Employees were at a closed 3-inch loop pipe to test meters. The system had a leak and the injured employee went to fix it. The injured employee was removing a valve when he was struck in the head with approximately 50 psi of air pressure. He was knocked into a chain link fence, sustained a concussion and had a seizure due to the injury. He was hospitalized.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0023,IOGP_SPI,Loss of Primary Containment – Methanol Release from T-67114,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00864,OSHA,An employee was found unresponsive inside of a trailer with a running generator. He was hospitalized for carbon monoxide exposure.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02411,OSHA,"While working on a saltwater disposal system, an employee was checking the rotation of a pump and noticed the oil tank was bulging at the bottom. The employee ran to get away from it when a flash fire erupted. The employee sustained second degree burns to the face, lower back, and both hands.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03239,OSHA,"During the filming of a television scene, an employee tripped on the electrical cord for a Christmas tree. She fell to the floor and suffered a broken left hip.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0034,IOGP_HPE,"Scaffold pole dropped to deck during handling operations. No injuries however dropped object calculator indicates 
fatality as worst case potential outcome.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00102,OSHA,"An employee was draining condensate out of the treater line when a flash fire occurred, causing second degree burns.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_04111,OSHA,"An employee was walking around equipment, tripped over hydraulic lines and fell to the ground. The employee sustained a broken hip.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0161,IOGP_SPI,"During late-afternoon operations, a small-diameter tubing connection failed resulting in a nitrogen release from 
a high-pressure nitrogen line. A nearby worker was startled by the sudden release and injured his shoulder while 
moving away from the area.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01353,OSHA,"An employee was attempting to adjust a glycol wrap on a pipe when it shifted. High-pressure water then exited the pipe and struck the employee, knocking him to the ground and breaking his ulna.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01375,OSHA,"An employee was blowing off pressure on a field natural gas compressor when a pipe about 3 feet long pulled out of the threads and hit the employee, causing blunt force trauma to the face, arm, and shoulder.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01693,OSHA,"While welding a tab to the end of a pipe, an employee was struck in the head by another pipe that was being moved laterally by another employee. The employee suffered an epidural hematoma.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02197,OSHA,Two employees were moving a 2-inch iron pipe to their acid pump truck when the injured employee's right ring finger was caught between the pipe and the pipe rack it rested on. He suffered an open fracture to the fingertip.,Toxic Gas / Hazardous Substance,Driving,Toxic Gas / Hazardous Substance; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02600,OSHA,"An employee stepped out of a pickup truck, which began to move. The employee fell and the truck ran over the employee's right leg, causing tibia and fibula fractures that required surgery.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0039,IOGP_SPI,"On 31st May 2025 at 20:45hr, a loud jetting sound from heard from unmanned offshore platform. Emergency 
shutdown (ESD) was initiated from at 21:05 hr. The operating pressure of the isolated pressure differential 
transmitter (PDT) line decreased from 104 barg to 82 barg within 1 hour following ESD activation. The line with PDT 
was operating at 104 barg and 60°C with 0.8 mol% of H2S. The static inventory of 7550kg depleted and pressure 
dropped from 104 barg to 0 barg over 15 hours.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00158,OSHA,"An employee was adjusting a belt on a power washer. While checking the tension, the pump turned back on. This kicked the wrench away from the employee's hand and pulled his hand into the machine. His right little fingertip was amputated, and his right thumb was lacerated.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02559,OSHA,"An employee was lowering a transfer hose between two liquid cargo barges. The winch started to free-spool and the hand crank came out of its seat. The employee was putting the hand crank back in to stop the winch from free-spooling, when the gears on the winch caused a partial amputation of a finger on the right hand and a fracture.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02047,OSHA,"At about 11:20 a.m. on March 14, 2019, a truck driver was working on top of a tractor trailer to check the fuel level. A gust of wind blew the employee off the top of the trailer. The employee suffered broken bones and was hospitalized.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01668,OSHA,"An employee was about to climb a 15-foot chain ladder to exit a horizontal vessel. When he stepped onto the ladder, it became unstable and he fell. He landed on his back on the vessel's floor, suffering multiple broken vertebrae.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0098,IOGP_SPI,"Head gasket failure on first stage cylinder released 2,948 lbs CO2; no hazardous atmosphere detected and no 
personnel affected.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_04002,OSHA,"While fueling a truck, an employee observed a pool of liquid, then noticed mist coming from a pipe. The employee developed respiratory symptoms resembling those of ammonia exposure.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0007,IOGP_SPI,"On 04 September 2025, an uncontrolled release of approximately 1,064 kg of hydrocarbon and inert gas mixture 
occurred from the cargo tank vent lines on an FPSO, resulting in Emergency Shutdown activation. The release was 
caused by valves 64HCV0001 and 64HCV0002 opening unexpectedly during a reboot of controller.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01361,OSHA,An employee fell from a flatbed trailer to the ground while securing a load. He landed on his right leg and injured his pelvis.,Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02468,OSHA,"Employees were working to remove a blow-out preventer (BOP) by dragging it with a tandem bed truck on the BOP skid from between two rig subs during rig-down operations. An employee was spotting the BOP skid as it was being pulled out by a tandem bed truck so it did not contact the rig sub's cylinders. He was standing on each side of the BOP skid directly beside the gas well cellar that the BOP had been removed from in order to watch the skid pass the cylinders and communicate with the bed truck operator as he pulled the skid away from the spotters. At the time, the well cellar guards had been removed from around the BOP, as is required to disconnect the BOP and lay it over on the skid. The employee stepped back into the cellar opening and fell 4 feet down onto a metal work platform and toe board, resulting in a broken collar bone, broken ribs, and a punctured lung.",Working at Height,Driving,Working at Height; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00430,OSHA,An employee stepped into an uncovered hole and sprained their back.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0097,IOGP_SPI,"Sour water pre-filter O-ring leak triggered H2S alarms; facility isolated, ventilated, and area reclassified from air-
pack available to carry zone.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00455,OSHA,An employee was welding a trailer fender. The tire burst and debris struck the welding mask causing a facial laceration and temporary vision impairment. The injured employee was hospitalized.,Energy Isolation,Hot Work,Energy Isolation; Hot Work,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00837,OSHA,"An employee had just finished lifting a shale bin using two loaders (one with a stinger, chain, and lifting equipment) in order to place matting underneath. Once the matting was in place, the employee directed the loader to lower the bin until there was enough slack in the lifting chain to remove it. As the employee grabbed the eye of the lifting chain to unhook it, the operator of the loader bumped the controls with his knee, causing the chain to tighten and pinch the employee's right middle finger between the bin and the chain. The employee's right middle finger was amputated between the middle and upper joint, and the employee was hospitalized.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0126,IOGP_SPI,Cooler pressure safety valve released.,None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0018,IOGP_SPI,"A leak of Corrosion Inhibitor (CI) occurred at one of the remote wellhead platforms. The source of the leak was 
identified at the bleed ring plug of the storage tank’s level transmitter, which had become dislodged and came off 
from the fitting. The leak was isolated, and an estimated 4,600 litres of CI was released from the tank.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0054,IOGP_SPI,"While pulling out of hole, swedge below the lubricator unexpectedly released.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_HPE_0039,IOGP_HPE,Collision between northern crane and derrick resulting in falling objects.,None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0166,IOGP_SPI,"At 4:10 pm an emergency operator called to report that security, while patrolling the area, reported a gas smell 
along the road, at 100m distance from the Security gate. It was a fuel gas release from a 2” FG line during well 
preparation for MRM.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_HPE_0033,IOGP_HPE,"Jack failed, with load moving towards personnel. No injuries however fatality as worst case potential outcome.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03342,OSHA,"While working at a fueling station, an employee was inside an underground sump hole with safety cones blocking off the area. He stood up in preparation to get out of the hole when a truck drove over the hole. The wheel of the vehicle was stuck in the hole and trapped the employee against the inside of the hole, putting pressure on the employee's upper torso.",Energy Isolation,Driving,Energy Isolation; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0030,IOGP_SPI,"Crude oil leak from a 6” line coming from oil wells and going to a facility. The line was isolated. The total volume 
spilled is 20bbls.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0177,IOGP_SPI,"During the annulus damping operation, draining the gas from the annulus to the test plant and replacing it with 9.8 
ppg inhibited water-based complementary fluid, methane gas was detected on the deck through two gas sensors – 
one installed internally in the fan house (ventilation room) detected 100% of the LEL (lower explosive limit) of CH4 
and another externally, in an adjacent room, detected 55% of the LEL of CH4, these rooms that suck air to the stern 
port column and pontoon of the unit",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01757,OSHA,"An employee was washing an oil and gas drilling rig when he experienced heat stress and cramping due to dehydration, requiring hospitalization.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02576,OSHA,"An employee was tasked with welding a pipe. As he was getting a cutting torch from a toolbox on a buggy, he became caught between the side boom of a pipelayer and the buggy. He suffered internal bleeding and damage to his small intestine, requiring hospitalization and surgery.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00991,OSHA,An employee was struck in the shoulder by a casing pipe during a well completion operation. The employee then suffered a reaction to painkillers.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0003,IOGP_HPE,"On 18 August 2025, a team was installing a 6-inch pipe over a 35-metre section between two lines. This pipe was 
also to be used during WO operations. During the operation, the team separated a 6-inch pipe from a 2-inch pipe, 
both of which had previously been tied together with cords. During the lifting phase, the cords were gradually cut 
to separate the two pipes. When the third cord was cut, the tension accumulated in the 6-inch pipe, which was 
bent at the time, was suddenly released. The pipe rebounded and struck an operator's right leg between the ankle 
and knee, causing an open fracture. The supervisor was immediately informed, the control room was alerted, and 
emergency procedures were quickly implemented.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01380,OSHA,"On January 11, 2018, at approximately 11:00 a.m., an employee was attempting to drive an ATV up a steep incline when it tipped over backwards. He was hospitalized with a fractured lower vertebra and internal bleeding.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0008,IOGP_HPE,"On 3rd June 2025, at about 2:15pm, during a test digging on a 6"" test line right of way, the excavator bucket made 
contact with a buried 11KVA composite electrical cable. The incident resulted in a dent/superficial cut on the cable.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0176,IOGP_SPI,"Explosion and fire during a propane leak, resulting in burns to an employee who was performing routine activities in 
the laboratory. The source of the flammable gas comes from Process Unit, and is used to perform analyses of 100% 
evaporated LPG residue.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01467,OSHA,"An employee was moving a panel switch to the open position on a 480-volt motor control center breaker when an electrical arc flash occurred, burning the employee's eyes, face, neck, and hands.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02384,OSHA,An employee was in the office shutting down for the day. The employee impacted the back of their head on an unknown object and was hospitalized with a head injury.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03919,OSHA,An employee was walking back to the office when they tripped on a Christmas tree storage bag and fell to the floor. The employee sustained fractures to their clavicle and humerus.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0201,IOGP_SPI,"Crew was killing the well with Axis Reverse Unit when the Axis Pump Hand appears to have engaged valves in 
the incorrect order allowing pressure to exit well bore through a disconnected 2” hose at the rig floor. Pressure 
estimated to be 600 psi. Loose end of hose whipped and struck one individual on the top of their hard hat.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00773,OSHA,"Employees were installing grating that consisted of 4 sheets (approximately 4 feet by 5 feet), cumulatively weighing approximately 800 pounds. When the employees disconnected the load from the crane, they realized the corner of the grating rested on the edge of an existing guard rail toe plate. The injured employee attempted to lift the grating upwards while his coworker used a spud wrench to shift the grating off the toe plate. The grating shifted and caught the injured employee's left index finger between the grating and structural steel. He suffered an avulsion to his left index finger flesh beneath his fingertip, which was crushed and cut. He required surgery and was hospitalized overnight.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03315,OSHA,"An employee was rotating a lifted bonnet when their finger was pinched between the fork and valve, resulting in a right middle fingertip amputation.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02971,OSHA,"An employee was on a landing above a frac tank. The employee put a strap stick into the tank; when it hit the bottom of the tank, the fluids in the tank ignited. The flash fire caused the employee to jump or fall, and he suffered two broken legs as well as burns to the arm.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01754,OSHA,"An employee slipped and twisted his right ankle while attempting to carry a 50-pound bag of seed, fracturing his fibula and tibia.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00998,OSHA,"While using a tag line to move a pipe, an employee lost control of the tag line. The employee's right arm was then caught between the pipe and a drilling rig, breaking it.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03848,OSHA,"During fuel delivery to bulk storage tanks from a tanker truck, fuel vapors met with an ignition source, causing the service station attached to the diked tank area to explode and set all seven fuel storage tanks in the diked area on fire. One tank over pressurized from the fire and exploded, propelling the tank into the next property. The two employees on site received severe burns to their face and body from the explosion and were hospitalized.",Hot Work,Driving,Hot Work; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00719,OSHA,"On September 07, 2016, at approximately 2:00 AM, an employee was unloading a fluid trailer during fluid service operations. While he was disconnecting a hose, pressure released and he fell to the ground, sustaining a head injury.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01480,OSHA,"An employee was troubleshooting a problem with a chemical pump. During a fracturing operation, the employee disconnected a chemical hose that was under pressure. Chemicals released and entered the employee's right eye, causing a chemical burn.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0077,IOGP_SPI,Release of 16.7 bbl oil found during recycling; fluids remained onsite and recovered.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02269,OSHA,"After work (installing wellheads and valves in the field), an employee suffered severe heat exhaustion and cramping and was hospitalized.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00212,OSHA,"An employee suffered a hand injury while performing routine maintenance on a pump jack at or near Pierre Creek Nelson 44-23 HR in McKenzie County, North Dakota.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0165,IOGP_SPI,"A sour gas release occurred at high pressure gas separator. The release occurred while business partners were 
removing a pressure safety valve for inspection and recertification. While cracking a flange, two workers were 
exposed to H2S. As a result, one worker lost consciousness, the other was exposed and became dizzy but remained 
conscious. The exposed workers were not wearing required Self-Contained Breathing Apparatus.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02549,OSHA,"An employee had unloaded a tracked drill rig off of a trailer and started to drill when the employee's pant leg became caught in the drill auger. As a result, the employee suffered a fracture to the left fibula with contusions and a hematoma, requiring hospitalization.",Line of Fire,,Line of Fire,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02945,OSHA,"An employee was removing a high-density polyethylene (HDPE) flange from a steel host pipe that had an HDPE liner installed. As the liner seal was broken, a puff of gas that was trapped in the annular space between the liner and steel pipe was released and ignited. The fire caused second degree burns to the employee's wrists and face.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_FATAL_0005,IOGP_FATAL,"At approximately 03:10 AM, crews were performing flange management on the water 16’’ and 18” lines and 
installation of the blind flange on the 24” overboard line for hydrotest. During the process, crew encountered a clash 
with an abandoned open 18” line and started hot cutting the 18” line to make room to install a blind flange. Fire 
broke out at worksite, resulting in 17 people injured and 1 person missing.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01996,OSHA,At approximately 4:30 p.m. there was an explosion and fire while starting up a unit at a refinery. One employee was burned on the face.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01606,OSHA,An employee was hospitalized due to heat exhaustion.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0014,IOGP_SPI,Fire due to leak from 14” incoming piping in absorber of CO2 removal unit.,None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0169,IOGP_SPI,"Personnel arrive at the gas pipeline in order to uncover two valves. The excavator begins digging until the pipe 
is identified, then proceeds to remove the metal flag. As the material is removed, the valve fails, releasing gas 
pressure.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03134,OSHA,"An employee was rebuilding a setting tool, attempting to seat the lower cylinder onto the cylinder head by tapping the setting tool onto the trailer floor. As the employee pushed down on the setting tool, the mandrel stroked in the setting sleeve and pinched and amputated their right middle finger.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0038,IOGP_HPE,"In connection with a pigging operation on an offshore installation, several pigs weighing 35 - 40 kg were lowered 
from a scaffold using rope, as the pig receiver was placed 5m above the turret deck. When the last pig was being 
lowered, the knot loosened, and the pig fell onto the turret deck and then bounced outside the barrier and down 
onto the tank deck. No one was injured and there was no significant material damage.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0025,IOGP_SPI,"While performing maintenance to refill the lubrication oil reservoir, the operator disassembled the camlock 
coupling on the filling nozzle. During this process, oil unexpectedly sprayed back from the system.
The tank level dropped rapidly, prompting the operator to activate the emergency stop for the turbine to prevent 
further escalation. Two people were exposed to oil splashes and oil vapors.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03145,OSHA,An employee was checking around a work area. The employee tripped on a ground rod that was sticking up about 2 inches from the ground and suffered a broken left knee.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_FATAL_0195,IOGP_FATAL,"For the fuel gas pipeline was under preparation for cleaning pigging activity, contractor employees went to the 
location for cleaning pigging activity. During the process, an explosion (without fire) occurred, sand and carbon were 
scattered in the area. This led to the collapse of the valve pit along with its structure, resulting in one contractor 
employee fatality, one contractor employee injury (left leg ankle fracture) and damage to the property. The injured 
employees were shifted to company clinic and then to hospital. One contractor employee was declared dead by the 
hospital and another contractor employee was injured.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01373,OSHA,"An employee was getting ready to climb a ladder to a chemical float trailer. He had put his right hand on the lower section of the ladder when it shifted, causing his right ring finger to be caught between the ladder and the trailer. His fingertip was amputated.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01306,OSHA,"On 11/16/2017, two employees were attempting to clear a hydrate formation in a gas pipeline at a tank battery when flammable gases and vapors ignited, causing significant burns to both employees.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03660,OSHA,"An employee was holding a back-pressure regulator. A pipe came apart (under tension from a forklift) and injured the employee's left hand, lacerating and fracturing the index finger.",Energy Isolation,Safe Mechanical Lifting,Energy Isolation; Safe Mechanical Lifting,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03485,OSHA,"An employee was pressure washing a gas compression unit when they stepped off a 3-foot high skid and fell to the ground, sustaining an ankle fracture.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_04127,OSHA,An employee was conducting field work at a customer's drilling rig when he became dehydrated. The employee was hospitalized.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03140,OSHA,"An employee was on a table trying to push a block of cardboard paper. The employee fell from the table to the ground about 3 feet below, suffering a broken leg.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00063,OSHA,A maintenance employee slipped on ice while applying salt to ice on the ground in the fenced-in yard of the facility. He slipped and broke his left fibula and dislocated his left ankle.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0017,IOGP_HPE,"IP1 observed visible bulging of a drain hose and proceeded to disconnect it. Although the associated compressor 
had been isolated, the hose remained connected to the main drainage manifold, which was linked to 24 
compressors.
The hose remained pressurized, and upon disconnection it struck the IP1 on the left hand and lower leg, and 
subsequently impacting IP2’s hand as they attempted to assist. As a result, IP1 and IP2 were injured.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00438,OSHA,"An employee was installing casing joints in a well using tongs when the bite of the tongs malfunctioned and the tongs bucked unexpectedly. The employee's hand got crushed between the tongs and the derrick, causing hand fractures.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00159,OSHA,An employee's foot got crushed between the floor and boom of a drill rig. He broke his big toe.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02736,OSHA,"An employee was attempting to adjust the housing on the tip of a spray gun when the trigger was engaged, causing the ceramic coating to go through the employee's glove into his left index finger, resulting in an injury that required surgery.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0075,IOGP_HPE,"A flash fire occurred during the demolition of internal components in the first-stage knockout drum (module C2) at 
the facility.
NORTH AMERICA ONSHORE
70
Safety performance indicators – 2025 data: High potential event reports
===PAGE_71===",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_HPE_0067,IOGP_HPE,"Two project contractors were observed working outside the handrail on structural beams approximately 30 meters 
above sea level. They were without the required fall-prevention barriers or authorized permits. Both individuals 
faced an uncontrolled fall-from-height hazard, posing a significant risk where survivability is minimal and multiple 
fatalities could occur.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01430,OSHA,"An employee was emptying a filter pod at the flare stack when a small flame came out of the top of the flare stack, landed in the condensate, and burned him. He suffered second degree burns to the hands, stomach, and calves, requiring hospitalization.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0099,IOGP_SPI,Gasket failure on Test Treater #1 released 17.6 bbl oil inside building and 4.5 bbl outside; all contained and recovered.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00355,OSHA,"An employee was standing on top of an excavation area flagging a trench box in when the ground gave way. The employee fell inside the trench, hitting the left side of his head and back, breaking four ribs, and bruising his head.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
