record_id,source_record_id,incident_text,top_lsr,top_score,second_lsr,second_score,margin,evidence_labels,semantic_score,agreement_state,suggested_action
OILPS_OSHA_01555,2018044133,An employee was performing maintenance on a pump at a gas well frac job. The employee removed the top cap off of the pump and removed the top valve. The employee went to remove the bottom valve and th,Work Authorization,0.6468,Energy Isolation,0.4698,0.177,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01564,2018054320,"Employees were switching railcars when one of the employees was caught between the two cars. He was crushed, suffering internal injuries to his upper abdomen and pelvic area. nan",Hot Work,0.0208,Safe Mechanical Lifting,0.0029,0.0179,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01567,2018054484,"On May 8, 2018, at approximately 12:10 a.m., employees were running some traded pipes and casing. The crew had a problem connecting two pipes (casing), so they unscrewed those pipes and continued to w",Hot Work,0.3958,Safe Mechanical Lifting,0.1449,0.2509,Line of Fire | Safe Mechanical Lifting,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01569,2018054526,"An employee was attempting to enter a pick-up when he lost his footing, fell, and struck his right side flank on the side step of the vehicle. He suffered a right kidney contusion and hematuria. nan",Working at Height,0.5812,Driving,0.2446,0.3366,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01574,2018054628,"An employee was driving down a lease road when the employee struck a rock in the road, over-corrected, and ran off the road, striking larger rocks that set the airbag off. The employee suffered a poss",Energy Isolation,0.0504,Line of Fire,0.0339,0.0165,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01584,2018054812,"On May 17, 2018, an employee and a coworker were preparing to move steel plates. The coworker had the steel plates lifted with a pry bar while the employee's hand was placing a clamp under them. The c",Energy Isolation,0.2651,Working at Height,0.0762,0.1889,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01590,2018055001,"On May 22, 2018, at approximately 8:40 a.m., an employee was in the enclosed cab of an excavator preparing the ground for the installation of a silt fence. While the employee was digging around the ba",Safe Mechanical Lifting,0.0137,Energy Isolation,0.0112,0.0025,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01594,2018055135,"An employee was observing pressure line testing, heard a hissing sound, stepped back to observe and fell into steel rebar. The employee was hospitalized for puncture wounds and internal bleeding. nan",Energy Isolation,0.4789,Working at Height,0.0013,0.4776,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01597,2018055178,"An employee was unscrewing a 2-inch iron elbow from a 2-inch iron straight pipe. The pipe shifted, and his left index finger was pinched between the elbow and the pipe. His left index finger was amput",Safe Mechanical Lifting,0.8797,Working at Height,0.7886,0.0911,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01601,2018055288,"An employee was struck by a tool while performing hydrostatic testing on a work-over rig. The tool impaled the employee, who required hospitalization and surgery. nan",Safe Mechanical Lifting,0.0039,Hot Work,0.0005,0.0034,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01612,2018065485,An employee was securing a set of chains to the slip for the blowout preventer (BOP) when the tongs engaged causing the slip to grab pipe and begin to spin. The injured employee's right hand was caugh,Energy Isolation,0.6921,Working at Height,0.2177,0.4744,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01619,2018065658,An employee got their left index finger caught between a compressor frame and a skid resulting in amputation of the fingertip. nan,Safe Mechanical Lifting,0.267,Energy Isolation,0.0464,0.2206,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01620,2018065666,"On June 10, 2018, at approximately 3:30 p.m., an employee suffered a partial amputation to the left middle finger while greasing the gears of the power tongs. nan",Hot Work,0.5183,Safe Mechanical Lifting,0.3814,0.1369,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01623,2018065705,An employee was standing on the top step of a 2-foot stepladder to change paint booth filters. The employee fell off the stepladder to the concrete floor and fractured the right hip. nan,Working at Height,0.6908,Energy Isolation,0.0073,0.6835,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01633,2018065915,"An employee was operating a pipe handler when a drilling pipe was released and struck his right hand, resulting in a pinky finger amputation and fractures to the ring and middle fingers. nan",Line of Fire,0.6615,Safe Mechanical Lifting,0.4833,0.1782,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01634,2018065932,"An employee was steadying a road boring machine as it was loaded onto the back of a truck. The employee's right index finger was in a pinch point when the machine was lowered onto the finger, crushing",Line of Fire,0.9803,Driving,0.9564,0.0239,Line of Fire,0.75,STRONG_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01635,2018065944,"An employee was moving metal material when one of the employee's right fingers was caught between the material, resulting in a traumatic amputation of the fingertip. nan",Energy Isolation,0.0079,Line of Fire,0.0033,0.0046,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01638,2018065995,"An employee was taking apart some pipe on top of an oil and gas tank when he slipped and fell approximately 22 feet. The employee sustained cracked ribs, a collapsed lung and a cracked collarbone. Fal",Hot Work,0.0039,Working at Height,0.0026,0.0013,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01639,2018066017,"An employee was working in an aerial lift to loosen a cam-lock trap when a cap struck the employee's face, requiring hospitalization. nan",Energy Isolation,0.5738,Safe Mechanical Lifting,0.0196,0.5542,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01640,2018066035,"An employee was taking a joint of iron off the back of a truck and rotating it back into the cradle where it was stored. A brace was missing; when the joint was put into its resting spot, it kept roll",Driving,0.9421,Safe Mechanical Lifting,0.8057,0.1364,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01641,2018066072,"An employee was helping a crew inspect a newly installed pipeline. High-pressure water and construction debris escaped from the pipeline during pigging operations, knocking over the employee and injur",Energy Isolation,0.6988,Working at Height,0.0003,0.6985,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01642,2018066196,An employee was folding over a rain flap on a generator to pin it before an oil rig was moved. The employee's right middle finger was caught between a pad eye on the generator roof and a pad eye on th,Safe Mechanical Lifting,0.0007,Energy Isolation,0.0002,0.0005,Line of Fire | Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01643,2018066230,An employee experienced muscle cramps while rigging up isolation tools. The employee was hospitalized for dehydration. nan,Safe Mechanical Lifting,0.0199,Work Authorization,0.001,0.0189,Energy Isolation | Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01645,2018066271,"On June 25, 2018, an employee was using a sling to offload 120-gallon tanks from the back of a truck. He fell from the truck to the ground, sustaining a lumbar compression fracture. nan",Driving,0.9884,Working at Height,0.9644,0.024,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01651,2018066426,"Three employees were moving a tool from the wash bay to two tool stands. The rear tool stand became caught on the lip of the floor and collapsed, causing the tool to fall off the stand. One of the emp",Hot Work,0.5189,Energy Isolation,0.2321,0.2868,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01653,2018066508,An employee was cutting the coke or removing the coke from the drum to the loading area. Steam was released during the coke cutting process and the employee suffered burns to the neck/jawline and hand,Hot Work,0.0019,Energy Isolation,0.001,0.0009,Hot Work,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01654,2018066536,"Two employees were tripping pipe on the rig floor. One employee slipped, and his right index fingertip was caught between the matting and the pin end of the pipe. He was hospitalized; the tip of his r",Safe Mechanical Lifting,0.0086,Energy Isolation,0.0072,0.0014,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01656,2018076735,"An employee was helping a skid steer operator. The skid steer struck the employee, who suffered a broken right leg. The employee was hospitalized. nan",Energy Isolation,0.4984,Safe Mechanical Lifting,0.3753,0.1231,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01658,2018076777,"An employee was helping to direct a traveling block off the ground. As the block was being raised, his left foot was caught between it and a well head, and was lacerated and broken. nan",Line of Fire,0.1241,Safe Mechanical Lifting,0.0539,0.0702,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01660,2018076823,"An employee was organizing a Conex box when his right ring finger was caught between a hose and metal shelf in the box, resulting in a fingertip amputation. nan",Line of Fire,0.2693,Energy Isolation,0.0206,0.2487,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01661,2018076837,"An employee was assisting with beveling the ends of a pipe when he was struck by a 24"" diameter pipe. His right leg was caught between the pipe and a roller, which broke his ankle. nan",Line of Fire,0.0424,Energy Isolation,0.0062,0.0362,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01662,2018076846,"An employee was working on a drilling rig location, adjusting and pushing forklift blades, when the blades pinched the employee's middle finger, resulting in a fingertip amputation. nan",Safe Mechanical Lifting,0.5093,Work Authorization,0.0043,0.505,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01675,2018077021,"An employee unloaded two pipe racks off a flatbed trailer, set them aside, and climbed on the trailer to remove the chains from the other racks. The employee then climbed off the trailer and began wal",Energy Isolation,0.0095,Driving,0.0062,0.0033,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01685,2018077209,An employee was holding bushing pullers while attempting to set bushings when he was struck on his lower back area with a bushing puller (an approximately 1 inch X 2 feet metal device connected to a h,Safe Mechanical Lifting,0.1925,Hot Work,0.1088,0.0837,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01688,2018077232,While flushing chemical from a tanker truck an explosion occurred that burned three employees. One of the injured employees was hospitalized with burns to the face and hands. nan,Hot Work,0.991,Driving,0.8822,0.1088,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01694,2018077353,"An employee was tripping pipe out of a hole when his right hand was caught between the handle and the elevator, injuring his index and middle fingers. nan",Safe Mechanical Lifting,0.025,Line of Fire,0.0006,0.0244,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01699,2018077523,An employee was retrieving his tools when he suffered a right pinky fingertip injury that later resulted in an amputation. nan,Line of Fire,0.513,Energy Isolation,0.0212,0.4918,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01700,2018077531,"An employee was removing doors from an oil and gas treater with an electric impact gun. His tool arced and lit the gas in the room on fire, causing severe burns to both of his arms. nan",Hot Work,0.6914,Confined Space,0.0031,0.6883,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01701,2018077628,"An employee was moving a 700 lb. cylinder with an appropriate lifting device when the cylinder fell on him, causing chest and leg contusions. He was hospitalized. nan",Hot Work,0.009,Energy Isolation,0.0004,0.0086,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01709,2018077795,"An employee was standing on the drum of an oil rig washing and removing grease from the drum when the operator activated the drum. The employee then fell between the drum and cable, fracturing his rig",Working at Height,0.5044,Energy Isolation,0.0155,0.4889,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01711,2018087842,"An employee was hit by a falling sheave from a tester that was being placed in a well. The employee was struck in the chest below the collarbone, suffering a liver laceration and bruised lung. nan",Line of Fire,0.9627,Safe Mechanical Lifting,0.8404,0.1223,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01714,2018087878,An employee was walking away from a pipeline when it exploded. He suffered second-degree burns. nan,Line of Fire,0.6372,Hot Work,0.279,0.3582,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01716,2018087929,"An employee slipped while working on a blowout preventer, falling about 2 feet to the ground and suffering a broken thumb. nan",Working at Height,0.5954,Energy Isolation,0.0279,0.5675,NONE,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01717,2018087935,"An employee was spotting a well servicing rig to a well when his right ring finger was caught between a wire cable and well-head bolt, resulting in a fingertip amputation. nan",Energy Isolation,0.1369,Line of Fire,0.0211,0.1158,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01718,2018087959,"An employee was working with tongues on the drilling floor when his hand entered a pinch point and the tongues caught his ring finger, resulting in an amputation at the first joint. nan",Safe Mechanical Lifting,0.8955,Line of Fire,0.8905,0.005,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01728,2018088136,Two employees were working on a pump. The first employee had his hand in the pump when the second employee rotated the drive line. The rotating pump parts then caused an amputation to the first employ,Line of Fire,0.527,Working at Height,0.1569,0.3701,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01731,2018088234,"An employee was working on a work-over rig floor at a well site, pulling equipment out of a rod basket, when a 2.5-foot-long x 1.5-inch-diameter metal rod (safety bar) fell from the rod basket and str",Energy Isolation,0.511,Working at Height,0.0417,0.4693,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01735,2018088300,"The injured employee was putting a stencil on the south side of a pipe. Just behind the injured employee, a coworker was in the process of quality testing a finished pipe. The coworker was raising the",Energy Isolation,0.9331,Safe Mechanical Lifting,0.8702,0.0629,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01738,2018088541,An employee was standing on ladder reaching up to grab rods under the clamps. The rods lowered and pinched his thumb between the rod clamp and the rod rotator. The thumb was amputated below the second,Working at Height,0.013,Safe Mechanical Lifting,0.0007,0.0123,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01740,2018088570,"An employee was using a foot to set slips when the right foot was caught between slips and the rig floor, resulting in a partial amputation of the little toe. nan",Energy Isolation,0.0761,Safe Mechanical Lifting,0.0015,0.0746,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01743,2018088609,"An employee was rigging up an isolation tool when he started to experience symptoms of heat exhaustion, requiring hospitalization. nan",Safe Mechanical Lifting,0.6258,Driving,0.0109,0.6149,Energy Isolation | Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01765,2018089009,"An employee was helping guide a pipe into place to connect to rig equipment. His left hand was caught between the pipe flange and the rig equipment's frame, and his ring finger was pinched. The tip wa",Safe Mechanical Lifting,0.3778,Driving,0.0026,0.3752,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01781,2018099302,"During the breaking of a connection, an employee was holding a ""mud bucket"" against a pipe to minimize the splashing of mud on an oil rig floor. As the two pieces of pipe were moved apart, a spray of ",Energy Isolation,0.1647,Hot Work,0.0082,0.1565,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01785,2018099405,"An employee was servicing an oil well. The employee's left hand was caught between a rod rotator and a bridle, and the little finger was amputated. nan",Safe Mechanical Lifting,0.0093,Energy Isolation,0.0014,0.0079,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01786,2018099425,"An employee was climbing the stairs on a coker unit to reach a crane cab. A drum of coke was cut open, releasing steam and hot gases; the employee suffered first-degree facial burns and second-degree ",Safe Mechanical Lifting,0.1476,Work Authorization,0.0268,0.1208,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01788,2018099551,"On September 15, 2018, an employee removed a pipeline cap on a CIP line and was burned by hot water and chemicals. The employee suffered burns to the face, back, arms, and legs. nan",Safe Mechanical Lifting,0.5139,Work Authorization,0.4115,0.1024,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01789,2018099552,"At about 5:00 p.m. on September 15, 2018, an employee was driving a utility vehicle at a natural gas pipeline site when it flipped over. The employee suffered a potential stomach tear and was hospital",Hot Work,0.0746,Safe Mechanical Lifting,0.0392,0.0354,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01792,2018099584,"An employee was cutting bands around a pipe bundle. When the last band was cut, the pipes shifted and one struck his right shin, causing three fractures to his right tibia. nan",Safe Mechanical Lifting,0.025,Energy Isolation,0.0225,0.0025,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01800,2018099830,An employee was setting out cones in a work zone after the required signs had been set and was struck by a vehicle. The employee was hospitalized for multiple fractures of the right tibia and a single,Line of Fire,0.5661,Driving,0.0609,0.5052,Driving | Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01810,20180910073,"An employee experienced cramps and difficulty breathing after rigging up on location, requiring hospitalization for dehydration. nan",Safe Mechanical Lifting,0.0216,Hot Work,0.0006,0.021,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01813,20181010221,"An employee was rotating a multi-sample tool on a tool cart. The tool came off the cart and his middle finger was caught between the cart and the tool, amputating the fingertip. nan",Safe Mechanical Lifting,0.0156,Energy Isolation,0.0067,0.0089,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01822,20181010424,An employee was test-driving a go-cart he had been working on when it struck a parked car. He broke his left ankle and two ribs on the left side. nan,Line of Fire,0.0086,Energy Isolation,0.0035,0.0051,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01829,20181010596,"An employee was guiding a stay rod onto the body of an isolation tool when his left thumb was crushed between the tool and the stay rod, resulting in an amputation to his thumb. nan",Energy Isolation,0.0114,Safe Mechanical Lifting,0.0017,0.0097,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01833,20181010659,"An employee was handling a racking board section. When the employee knocked a pin out of the racking board section, the racking board fell and hit the employee's left leg. The employee suffered a disl",Energy Isolation,0.458,Working at Height,0.0369,0.4211,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01843,20181010901,"An employee was standing next to a steel road plate that was suspended and being moved by a backhoe. While in transit, the suspended road plate started swinging and struck the employee's right foot, w",Line of Fire,0.2512,Safe Mechanical Lifting,0.0138,0.2374,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01845,20181010956,"An employee fell from a truck to the ground while loading the bulk truck with material, suffering arm, wrist, and rib fractures. nan",Driving,0.9975,Working at Height,0.9305,0.067,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01846,20181011005,"Employees were servicing a tool and attempting to remove the pivot pins while the tool was in the horizontal position. The first employee was kneeling and facing the tool, while a second employee was ",Working at Height,0.0542,Safe Mechanical Lifting,0.0127,0.0415,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01852,20181011102,"On October 27, 2018, at approximately 9:15 PM, a crew of five employees was working on a drilling rig when the traveling block hit the crown, which caused the travel block to fall to the rig floor. On",Working at Height,0.0071,Energy Isolation,0.0017,0.0054,Line of Fire | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01853,20181011107,"An employee was grinding an I-beam when the grinder disk ruptured and blew into the employee's right leg, fracturing the tibia and requiring hospitalization. nan",Line of Fire,0.0004,Energy Isolation,0.0003,0.0001,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01855,20181011173,An employee was hoisting a snubbing unit with his hand on the unit and got his hand caught between the snubbing unit and the derrick resulting in amputation of the right thumb. nan,Working at Height,0.2835,Line of Fire,0.0386,0.2449,Line of Fire | Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01857,20181011215,"An employee was spotting for a track hoe when he was caught by the tracks, fracturing his right leg in three places. nan",Line of Fire,0.4579,Safe Mechanical Lifting,0.0199,0.438,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01859,20181111264,"An employee was demolishing an abandoned pipeline in a trench, about 5 feet deep, using a demolition saw. He lost balance and the saw cut into his left forearm above the wrist, possibly cutting or nic",Energy Isolation,0.0013,Line of Fire,0.0009,0.0004,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01867,20181111486,"An employee was participating in a coiled pipe cutting activity when the piece being cut sprung loose and hit the employee, fracturing several vertebrae in his back. nan",Line of Fire,0.0009,Energy Isolation,0.0003,0.0006,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01872,20181111541,"An employee was trying to bend the top rail of a rig mat frame using a pry bar so that he could install a filler block. While his right foot was inside the frame of the rig mat for leverage, the bar s",Working at Height,0.3021,Energy Isolation,0.1205,0.1816,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01882,20181111831,An employee was cutting wood on a band saw when the blade cut his right hand. nan,Hot Work,0.0007,Line of Fire,0.0002,0.0005,Hot Work,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01885,20181111869,An employee was ventilating a building containing a gas leak and the gases ignited when the employee opened the door. The employee suffered first degree burns to the face and neck and second degree bu,Hot Work,0.9906,Work Authorization,0.9446,0.046,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01889,20181111906,"An employee was rigging down an oil rig mast. While the pin was being removed from the derrick board brace, the derrick board swung and hit the employee in the rib area. The employee suffered contusio",Working at Height,0.99,Safe Mechanical Lifting,0.9768,0.0132,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01901,20181112264,"An employee was reaching between a blowout preventer (BOP) and tubing slips to pick up the BOP ring gasket when the chain broke on the BOP, causing the BOP to fall and crush the employee's right index",Safe Mechanical Lifting,0.408,Working at Height,0.3787,0.0293,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01903,20181212395,An employee was punched by another employee causing them to fall to the floor and hit their head. The employee sustained a brain bleed. nan,Safe Mechanical Lifting,0.0105,Energy Isolation,0.0082,0.0023,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01904,20181212428,"An employee was screwing a saver sub into tubing when the employee's left pinky finger was caught between the chain and saver sub, resulting in a finger amputation. nan",Energy Isolation,0.0193,Safe Mechanical Lifting,0.0018,0.0175,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01910,20181212606,An employee was servicing a pump and replacing the plunger pump when their left hand was caught between the plunger and piston. The employee sustained amputations to the tips of the middle three finge,Line of Fire,0.0013,Energy Isolation,0.0007,0.0006,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01917,20181212741,An employee was assisting in hydroblasting operations and received a laceration to the left calf when the water cutting machine malfunctioned. nan,Energy Isolation,0.0005,Hot Work,0.0003,0.0002,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01921,20181212873,An employee was laying down tubing and guiding the drill pipe when it got hung up and jerked causing the employee to fall through an unguarded V-door from the workover rig floor to a hydraulic catwalk,Safe Mechanical Lifting,0.1168,Hot Work,0.0037,0.1131,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01922,20181212989,An employee was removing Christmas tree lights from a trailer when his little finger was smashed between a forklift bar and a steel bar. He suffered an amputation to the finger. nan,Safe Mechanical Lifting,0.9003,Energy Isolation,0.8757,0.0246,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01929,20181213123,"Employees at a rig were removing a section of piping from a basket using an air hoist. The piece of piping was lifted from the basket and raised about 2 feet high, at which point a second piece of pip",Energy Isolation,0.0785,Working at Height,0.0045,0.074,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01930,20181213137,An employee's finger was caught between a drill pipe and part of a rig structure during rigging up. The finger was partially amputated. nan,Safe Mechanical Lifting,0.2499,Line of Fire,0.0008,0.2491,Line of Fire | Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01934,20181213289,"An employee was loading casing on a rack with a PIT. One of the casings was hanging off of the rack. When the employee went to move it by hand, it rolled off and struck the employee resulting in a bro",Safe Mechanical Lifting,0.6382,Energy Isolation,0.2103,0.4279,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01940,2019010164,"An employee was helping to lower an exhaust catalyst to the ground with a rope when it created a loop that caught the employees' right gloved finger, resulting in a fingertip amputation. nan",Energy Isolation,0.5253,Safe Mechanical Lifting,0.5159,0.0094,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01951,2019010417,Employees were loading 6.5-inch drill collars onto a 40-foot flatbed trailer for transport. The injured employee was attempting to install a band around a collar to secure it when the drill collar rol,Working at Height,0.6168,Line of Fire,0.2891,0.3277,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01952,2019010446,An employee was acting as a spotter and guiding a flatbed operator while standing on the rear passenger side of an outrigger leg when he stepped back onto a mobile crane platform and fell approximatel,Driving,0.0232,Working at Height,0.0155,0.0077,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01956,2019010489,An employee was using a loader to place a 4.5-inch casing onto a pipe rack. The employee noticed the casing was rolling off of the pipe rack and exited the loader to stop it. The casing rolled onto th,Energy Isolation,0.9143,Safe Mechanical Lifting,0.8989,0.0154,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01958,2019010585,An employee was assisting others in rotating a canopy on a piece of heavy machinery which was to be placed where welders were working when his finger was caught between two pad eye stops. The employee,Line of Fire,0.0032,Energy Isolation,0.0003,0.0029,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_01964,2019010782,"While checking on equipment on the back of a welding truck, an employee fell off the back of the truck to the ground about 36 inches below. The employee suffered multiple fractures and was hospitalize",Hot Work,0.996,Driving,0.9155,0.0805,Hot Work,0.75,STRONG_AGREEMENT,Manual Review Pending analyst validation.
